marka,araba_yasi,kilometre,motor_gucu,fiyat
alfa-romero,6,112100,111,740000
alfa-romero,12,184400,111,482000
alfa-romero,18,310100,154,539000
audi,10,131500,102,1053000
audi,21,313100,115,562000
audi,24,204600,110,480000
audi,18,361600,110,501000
audi,18,179800,110,642000
audi,4,70600,140,1956000
audi,10,172300,160,1542000
bmw,24,303400,101,410000
bmw,7,118400,101,1312000
bmw,10,187800,121,1130000
bmw,13,222500,121,919000
bmw,12,139700,121,1087000
bmw,23,322300,182,902000
bmw,24,295000,182,883000
bmw,3,47400,182,3230000
chevrolet,12,143400,48,186000
chevrolet,12,148700,70,240000
chevrolet,10,111800,70,283000
dodge,24,424100,68,152000
dodge,7,100100,68,317000
dodge,24,249300,102,314000
dodge,18,349900,68,150000
dodge,14,151500,68,243000
dodge,14,138600,68,223000
dodge,17,329100,102,303000
dodge,4,56500,88,535000
dodge,15,160300,145,698000
honda,3,33400,58,432000
honda,10,166300,76,268000
honda,20,182200,60,175000
honda,22,231500,76,178000
honda,20,381600,76,150000
honda,3,19000,76,580000
honda,14,196800,76,250000
honda,7,114700,86,439000
honda,3,19700,86,642000
honda,13,205600,86,299000
honda,10,121700,86,379000
honda,16,160200,101,358000
honda,21,417100,100,195000
isuzu,16,134200,78,304000
isuzu,22,277900,70,154000
isuzu,17,313400,70,150000
isuzu,10,147300,90,381000
jaguar,11,159600,176,2178000
jaguar,12,254600,176,1825000
jaguar,6,71200,262,4800000
maxda,14,295500,68,150000
maxda,7,143400,68,277000
mazda,3,48500,68,422000
mazda,11,102600,68,314000
mazda,14,222500,68,191000
mazda,17,143600,101,344000
mazda,3,49000,101,723000
mazda,25,444200,101,183000
mazda,21,440300,135,342000
mazda,25,326800,84,174000
mazda,12,156400,84,332000
mazda,13,101600,84,385000
mazda,3,25100,84,612000
mazda,12,176800,64,230000
mazda,22,467200,84,150000
mazda,20,175000,120,366000
mazda,4,77500,72,457000
buick,10,135500,123,741000
buick,14,242500,123,523000
buick,24,463000,123,272000
buick,17,314800,123,390000
buick,22,333800,155,436000
buick,3,53900,155,1051000
buick,21,348400,184,666000
buick,7,118900,184,1473000
mercury,17,294500,175,808000
mitsubishi,15,134200,68,229000
mitsubishi,13,248400,68,210000
mitsubishi,12,236200,68,207000
mitsubishi,10,105100,102,520000
mitsubishi,19,255100,116,311000
mitsubishi,20,381500,88,192000
mitsubishi,21,399300,145,361000
mitsubishi,24,312300,145,336000
mitsubishi,12,176200,145,642000
mitsubishi,13,205800,88,296000
mitsubishi,20,317700,88,230000
mitsubishi,15,199800,116,417000
mitsubishi,25,475800,116,192000
Nissan,23,375400,69,150000
nissan,25,441200,55,150000
nissan,19,191900,69,198000
nissan,7,117500,69,300000
nissan,7,143400,69,301000
nissan,14,151500,69,243000
nissan,19,370800,69,150000
nissan,11,164800,69,256000
nissan,20,316000,69,165000
nissan,12,253000,69,197000
nissan,10,210200,97,404000
nissan,14,116600,97,443000
nissan,19,307000,152,533000
nissan,23,495100,152,344000
nissan,8,154200,152,812000
nissan,19,343300,160,578000
nissan,16,192700,200,1022000
nissan,22,234400,160,551000
peugeot,10,147800,97,457000
peugeot,3,20500,95,670000
peugeot,8,157100,97,432000
peugeot,20,298500,95,248000
peugeot,25,483100,95,150000
peugeot,20,283500,95,252000
peugeot,8,85500,95,490000
peugeot,10,132800,95,457000
peugeot,12,171600,97,364000
peugeot,16,334600,95,261000
peugeot,22,347400,142,398000
plymouth,10,111800,68,283000
plymouth,21,299700,102,287000
plymouth,18,300700,68,150000
plymouth,3,52900,68,414000
plymouth,16,218700,68,205000
plymouth,6,53000,88,535000
plymouth,13,261500,145,573000
porsche,15,190400,143,1402000
porcshce,5,48300,207,4771000
porsche,6,114100,207,4222000
porsche,10,166100,207,2844000
porsche,21,343300,288,2666000
renault,7,95400,90,443000
renault,21,342400,90,178000
saab,10,172100,110,757000
saab,16,339200,110,466000
saab,20,158600,110,459000
saab,16,252800,110,517000
saab,20,387300,160,642000
saab,11,146300,160,1102000
subaru,14,166300,69,238000
